compound_id,compound_title,critical_value,Sample ID,"Concentration
(ng)","Intensity
(cps)","Mass
(m/z)","Mass 235 Intensity
(cps)","Mass 895 Intensity
(cps)",Mass 235 Ratio,threshold,Classification,True Label,Above Threshold,Mass 895 Ratio
ABC+235__-_Sum,ABC+235  - Sum,590.0,01_PETN_0.01mgml_2uL_SolvG_7,20,24000,489,24000,30000,1,5900.0,True Positive,1,1,
ABC+235__-_Sum,ABC+235  - Sum,590.0,01_PETN_0.01mgml_2uL_SolvG_8,20,24000,489,24000,30000,1,5900.0,True Positive,1,1,
ABC+235__-_Sum,ABC+235  - Sum,590.0,01_PETN_0.01mgml_2uL_SolvG_9,20,24000,489,24000,30000,1,5900.0,True Positive,1,1,
ABC+235__-_Sum,ABC+235  - Sum,590.0,01_PETN_0.01mgml_2uL_SolvG_10,20,24000,489,24000,30000,1,5900.0,True Positive,1,1,
ABC+235__-_Sum,ABC+235  - Sum,590.0,01_PETN_0.01mgml_2uL_SolvG_11,20,24000,489,24000,30000,1,5900.0,True Positive,1,1,
ABC+235__-_Sum,ABC+235  - Sum,590.0,01_PETN_0.01mgml_2uL_SolvG_12,20,24000,489,24000,30000,1,5900.0,True Positive,1,1,
ABC+235__-_Sum,ABC+235  - Sum,590.0,01_PETN_0.01mgml_2uL_SolvG_13,20,24000,489,24000,30000,1,5900.0,True Positive,1,1,
ABC+235__-_Sum,ABC+235  - Sum,590.0,01_PETN_0.01mgml_2uL_SolvG_14,20,24000,489,24000,30000,1,5900.0,True Positive,1,1,
ABC+235__-_Sum,ABC+235  - Sum,590.0,01_PETN_0.01mgml_2uL_SolvG_15,20,24000,489,24000,30000,1,5900.0,True Positive,1,1,
ABC+278__-_Sum,ABC+278  - Sum,849.0,01_blank_SolvG_1,0,700,491,400,700,,8490.0,True Negative,0,0,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,01_blank_SolvG_2,0,700,491,400,700,,8490.0,True Negative,0,0,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,01_blank_SolvG_3,0,1000,491,400,700,,8490.0,True Negative,0,0,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,01_blank_SolvG_4,0,1000,491,400,700,,8490.0,True Negative,0,0,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,02_blank_SolvG_1,0,1000,491,400,1000,,8490.0,True Negative,0,0,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,02_blank_SolvG_2,0,700,491,400,1000,,8490.0,True Negative,0,0,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,02_blank_SolvG_3,0,700,491,700,1000,,8490.0,True Negative,0,0,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,03_blank_SolvG_1,0,700,491,5000,700,,8490.0,True Negative,0,0,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,03_blank_SolvG_2,0,700,491,5000,700,,8490.0,True Negative,0,0,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,03_blank_SolvG_3,0,700,491,5000,700,,8490.0,True Negative,0,0,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,03_PETN_0.001mgml_2uL_SolvG_1,2,10000,491,6500,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,03_PETN_0.001mgml_2uL_SolvG_2,2,10000,491,6500,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,03_PETN_0.001mgml_2uL_SolvG_3,2,10000,491,6500,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,03_PETN_0.001mgml_2uL_SolvG_4,2,10000,491,6500,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,03_PETN_0.001mgml_2uL_SolvG_5,2,10000,491,6500,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,03_PETN_0.001mgml_2uL_SolvG_6,2,10000,491,6500,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,03_PETN_0.001mgml_2uL_SolvG_7,2,10000,491,6500,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,03_PETN_0.001mgml_2uL_SolvG_8,2,10000,491,6500,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,03_PETN_0.001mgml_2uL_SolvG_9,2,10000,491,6500,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,03_PETN_0.001mgml_2uL_SolvG_10,2,10000,491,6500,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,03_PETN_0.001mgml_2uL_SolvG_11,2,10000,491,6500,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,03_PETN_0.001mgml_2uL_SolvG_12,2,10000,491,6500,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,03_PETN_0.001mgml_2uL_SolvG_13,2,10000,491,6500,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,03_PETN_0.001mgml_2uL_SolvG_14,2,10000,491,6500,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,03_PETN_0.001mgml_2uL_SolvG_15,2,10000,491,6500,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,02_PETN_0.003mgml_2uL_SolvG_1,6,10000,491,12000,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,02_PETN_0.003mgml_2uL_SolvG_2,6,10000,491,12000,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,02_PETN_0.003mgml_2uL_SolvG_3,6,10000,491,12000,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,02_PETN_0.003mgml_2uL_SolvG_4,6,10000,491,12000,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,02_PETN_0.003mgml_2uL_SolvG_5,6,10000,491,12000,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,02_PETN_0.003mgml_2uL_SolvG_6,6,10000,491,12000,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,02_PETN_0.003mgml_2uL_SolvG_7,6,10000,491,12000,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,02_PETN_0.003mgml_2uL_SolvG_8,6,10000,491,12000,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,02_PETN_0.003mgml_2uL_SolvG_9,6,10000,491,12000,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,02_PETN_0.003mgml_2uL_SolvG_10,6,10000,491,12000,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,02_PETN_0.003mgml_2uL_SolvG_11,6,10000,491,12000,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,02_PETN_0.003mgml_2uL_SolvG_12,6,10000,491,12000,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,02_PETN_0.003mgml_2uL_SolvG_13,6,10000,491,12000,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,02_PETN_0.003mgml_2uL_SolvG_14,6,10000,491,12000,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,02_PETN_0.003mgml_2uL_SolvG_15,6,10000,491,12000,10000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,01_PETN_0.01mgml_2uL_SolvG_1,20,30000,491,24000,30000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,01_PETN_0.01mgml_2uL_SolvG_2,20,30000,491,24000,30000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,01_PETN_0.01mgml_2uL_SolvG_3,20,30000,491,24000,30000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,01_PETN_0.01mgml_2uL_SolvG_4,20,30000,491,24000,30000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,01_PETN_0.01mgml_2uL_SolvG_5,20,30000,491,24000,30000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,01_PETN_0.01mgml_2uL_SolvG_6,20,30000,491,24000,30000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,01_PETN_0.01mgml_2uL_SolvG_7,20,30000,491,24000,30000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,01_PETN_0.01mgml_2uL_SolvG_8,20,30000,491,24000,30000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,01_PETN_0.01mgml_2uL_SolvG_9,20,30000,491,24000,30000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,01_PETN_0.01mgml_2uL_SolvG_10,20,30000,491,24000,30000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,01_PETN_0.01mgml_2uL_SolvG_11,20,30000,491,24000,30000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,01_PETN_0.01mgml_2uL_SolvG_12,20,30000,491,24000,30000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,01_PETN_0.01mgml_2uL_SolvG_13,20,30000,491,24000,30000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,01_PETN_0.01mgml_2uL_SolvG_14,20,30000,491,24000,30000,,8490.0,True Positive,1,1,1
ABC+278__-_Sum,ABC+278  - Sum,849.0,01_PETN_0.01mgml_2uL_SolvG_15,20,30000,491,24000,30000,,8490.0,True Positive,1,1,1
